NUM NOME          POT  FCMX    TEIF   IP    <-------------------- GTMIN PARA O PRIMEIRO ANO DE ESTUDO ------------------------|D+ ANOS
 XXX XXXXXXXXXXXX  XXXX. XXX.  XXX.XX XXX.XX JAN.XX FEV.XX MAR.XX ABR.XX MAI.XX JUN.XX JUL.XX AGO.XX SET.XX OUT.XX NOV.XX DEZ.XX XXX.XX
 146 STA VITORIA     41.  93.    4.13  10.72   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 194 T. NORTE 2     349.  94.    0.24   1.40   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
  90 TERMOMACAE     923. 100.    6.78   4.09   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 045.10 000.00
  47 TERMORIO       989. 100.    6.00   5.20   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 051.61 000.00
  68 TRES LAGOAS    350. 100.    9.47   3.15   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 031.11 000.00
  49 VIANA          175. 100.    2.42   0.60   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 253 VIANA 1         37. 100.    1.54   0.90   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 334 W. ARJONA      144. 100.    2.50   3.49   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 108 XAVANTES        54. 100.    0.31   0.35   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
  48 ARAUCARIA      484. 100.    3.92  43.57   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 254 B. BONITA I     10. 100.   18.94   2.35   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 237 CAMBARA          0. 100.    2.00   2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 156 CANDIOTA 3     350. 100.   24.31  13.53   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 320.00 005.39
  64 CANOAS         249. 100.    6.64  11.65   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 003.11 000.00
  28 FIGUEIRA        20. 100.   11.84  12.39   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
  26 J.LACERDA A1    80. 100.    8.46  13.75   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
  27 J.LACERDA A2   110. 100.    7.91  10.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 017.74 000.00
  25 J.LACERDA B    220. 100.    7.48   8.29   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 035.48 000.00
  24 J.LACERDA C    330. 100.    6.75  14.20   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 048.39 000.00
 107 PAMPA SUL      345. 100.   22.46   9.28   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 013.39 000.00
 149 SAO SEPE         8.  90.   14.86   1.35   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 258 TROMBUDO         0. 100.    3.00   6.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
  35 URUGUAIANA     640. 100.    0.12  72.86   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 235 CAMACARI MII   144. 100.    3.00   1.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
  52 CAMPINA GDE    169. 100.   28.88   5.51   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 106 ERB CANDEIAS    17. 100.   46.72   9.71   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 003.50 001.17
  53 GLOBAL I       136. 100.    2.00   2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
  55 GLOBAL II      136. 100.    2.00   2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
  57 MARACANAU I    147. 100.   16.44  10.08   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 167 P. PECEM I     720. 100.    2.28   3.06   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 163 P. PECEM II    365. 100.    0.76   1.53   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 224 P. SERGIPE I  1593. 100.   13.91   1.45   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 162 PECEM II       144. 100.    2.90   0.97   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
  98 PERNAMBU_III   201. 100.   27.42   7.94   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 144 PETROLINA      136. 100.    4.34   2.80   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 151 POTIGUAR        48. 100.    2.50   2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 161 POTIGUAR III    51. 100.    2.84   2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 223 PROSPERI III    56. 100.    2.90   3.14   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 241 PROSPERID II    37. 100.    5.89   2.89   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 147 PROSPERIDADE    28. 100.    6.68   2.64   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 170 SUAPE II       381. 100.    4.61   6.92   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
  43 TERMOBAHIA     186.  86.    3.73  11.91   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 152 TERMOCABO       50. 100.    0.61   1.40   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
  58 TERMOCEARA     223. 100.   15.29   8.56   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
  67 TERMONE        171.  95.    1.59   0.48   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
  69 TERMOPB        171.  95.    2.36   0.25   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
  96 TERMOPE        550. 100.    1.43   1.85   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
  83 VALE DO ACU    110.  84.   12.38  11.65   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 201 APARECIDA      166. 100.   16.31  11.69   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 075.00 072.50
 260 AZULAO           0. 100.    3.00   3.07   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 262 AZULAO II        0. 100.    3.00   3.07   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 263 AZULAO IV        0. 100.    3.00   3.07   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 322 BBF BALIZA      10.  94.    1.17   5.63   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 005.00 005.00
 323 BONFIM          12. 100.    2.00   2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 005.00 004.08
 324 CANTA           12. 100.    2.00   2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 005.00 004.08
  73 GERAMAR I      166.  96.    1.30   2.70   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
  70 GERAMAR II     166.  96.    1.30   2.70   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 326 JAGUATIRI II   141. 100.    2.50   1.50   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 204 JARAQUI         75.  87.    4.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 026.79 026.71
 327 M.CRISTO SUC    42.  96.    2.00   1.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 264 MANAUS I         0. 100.    2.50   2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 212 MARANHAO III   519. 100.    3.99   2.24   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 490.00 000.00
  36 MARANHAO IV    338. 100.    1.11   0.78   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
  21 MARANHAO V     338. 100.    1.16   1.20   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 140 MAUA 3         591.  97.   11.60   9.51   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 264.00 264.00
  46 N.VENECIA 2    270. 100.    6.05   6.44   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 008.51 000.00
 240 NT BARCARENA     0. 100.    1.10   2.05   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 328 PALMAPLAN 2     12. 100.    0.91   1.36   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 116 PARNAIBA IV     56. 100.    5.50   4.30   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 239 PARNAIBA V     365.  95.    2.05   1.22   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 329 PAU RAINHA      12. 100.    2.00   2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 005.00 004.08
 205 PIRARUCU        73. 100.    2.50   0.39   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 034.00 033.17
 203 PORAQUE         85. 100.    1.00  20.72   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 028.00 026.32
 176 PORTO ITAQUI   360. 100.    4.42   4.57   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 259 PORTOCEM I       0. 100.    1.50   2.18   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 330 SANTA LUZ       12. 100.    2.00   2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 005.00 004.08
 209 TAMBAQUI        93.  71.    4.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 031.00 030.63
 207 TUCUNARE        73. 100.    2.50   0.53   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 034.00 033.12
