NUM NOME          POT  FCMX    TEIF   IP    <-------------------- GTMIN PARA O PRIMEIRO ANO DE ESTUDO ------------------------|D+ ANOS
 XXX XXXXXXXXXXXX  XXXX. XXX.  XXX.XX XXX.XX JAN.XX FEV.XX MAR.XX ABR.XX MAI.XX JUN.XX JUL.XX AGO.XX SET.XX OUT.XX NOV.XX DEZ.XX XXX.XX
 241 PROSPERID II    37. 100.    5.89   2.89   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 147 PROSPERIDADE    28. 100.    6.68   2.64   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 170 SUAPE II       381. 100.    4.61   6.92   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
  43 TERMOBAHIA     186.  86.    3.73  11.91   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 152 TERMOCABO       50. 100.    0.61   1.40   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
  58 TERMOCEARA     223. 100.   15.29   8.56   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
  67 TERMONE        171.  95.    1.59   0.48   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
  69 TERMOPB        171.  95.    2.36   0.25   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
  96 TERMOPE        550. 100.    1.43   1.85   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
  83 VALE DO ACU    110.  84.   12.38  11.65   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 201 APARECIDA      166. 100.   16.31  11.69   0.00   0.00   0.00   0.00   0.00   0.00   0.00 075.00 075.00 072.50 072.50 072.50 072.50
 260 AZULAO           0. 100.    3.00   3.07   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 262 AZULAO II        0. 100.    3.00   3.07   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 263 AZULAO IV        0. 100.    3.00   3.07   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 322 BBF BALIZA       0.  94.    1.17   5.63   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 006.66
 323 BONFIM           0. 100.    2.00   2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 004.08
 324 CANTA            0. 100.    2.00   2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 004.08
  73 GERAMAR I      166.  96.    0.29   0.29   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
  70 GERAMAR II     166.  96.    0.42   0.31   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 326 JAGUATIRI II     0. 100.    2.50   1.50   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 204 JARAQUI         75.  87.    4.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 029.00 029.00 026.71 026.71 026.71 026.71
 327 M.CRISTO SUC     0.  96.    2.00   1.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 264 MANAUS I         0. 100.    2.50   2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 212 MARANHAO III   519. 100.    3.99   2.24   0.00   0.00   0.00   0.00   0.00   0.00   0.00 476.66 490.00 479.32 479.32 479.32 000.00
  36 MARANHAO IV    338. 100.    1.11   0.78   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
  21 MARANHAO V     338. 100.    1.16   1.20   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 140 MAUA 3         591.  97.   11.60   9.51   0.00   0.00   0.00   0.00   0.00   0.00   0.00 264.52 265.33 264.00 264.00 264.00 264.00
  46 N.VENECIA 2    270. 100.    6.05   6.44   0.00   0.00   0.00   0.00   0.00   0.00   0.00 180.00 180.00 081.09 081.09 000.00 000.00
 240 NT BARCARENA     0. 100.    1.10   2.05   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 580.83 000.00
 328 PALMAPLAN 2      0. 100.    0.91   1.36   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 116 PARNAIBA IV     56. 100.    4.67   1.38   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 239 PARNAIBA V     365.  95.    2.05   1.22   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 329 PAU RAINHA       0. 100.    2.00   2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 004.08
 205 PIRARUCU        73. 100.    2.50   0.39   0.00   0.00   0.00   0.00   0.00   0.00   0.00 035.00 035.00 033.17 033.17 033.17 033.17
 203 PORAQUE         85. 100.    1.00  20.72   0.00   0.00   0.00   0.00   0.00   0.00   0.00 028.00 028.00 026.32 026.32 026.32 026.32
 176 PORTO ITAQUI   360. 100.    4.42   4.57   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 259 PORTOCEM I       0. 100.    1.50   2.18   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 330 SANTA LUZ        0. 100.    2.00   2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 004.08
 209 TAMBAQUI        93.  71.    4.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 033.00 033.00 030.63 030.63 030.63 030.63
 207 TUCUNARE        73. 100.    2.50   0.53   0.00   0.00   0.00   0.00   0.00   0.00   0.00 035.00 035.00 033.12 033.12 033.12 033.12
