NUM NOME          POT  FCMX    TEIF   IP    <-------------------- GTMIN PARA O PRIMEIRO ANO DE ESTUDO ------------------------|D+ ANOS
 XXX XXXXXXXXXXXX  XXXX. XXX.  XXX.XX XXX.XX JAN.XX FEV.XX MAR.XX ABR.XX MAI.XX JUN.XX JUL.XX AGO.XX SET.XX OUT.XX NOV.XX DEZ.XX XXX.XX
  98 PERNAMBU_III   201. 100.   27.42   7.94 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 144 PETROLINA      136. 100.    4.34   2.80 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 151 POTIGUAR        48. 100.    2.50   2.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 161 POTIGUAR III    51. 100.    2.84   2.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 223 PROSPERI III    56. 100.    2.90   3.14 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 241 PROSPERID II    37. 100.    5.89   2.89 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 147 PROSPERIDADE    28. 100.    6.68   2.64 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 170 SUAPE II       381. 100.    4.61   6.92 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  43 TERMOBAHIA     186.  86.    3.73  11.91 006.13 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 152 TERMOCABO       50. 100.    0.61   1.40 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  58 TERMOCEARA     223. 100.   15.29   8.56 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  67 TERMONE        171.  95.    1.59   0.48 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  69 TERMOPB        171.  95.    2.36   0.25 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  96 TERMOPE        550. 100.    1.43   1.85 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  83 VALE DO ACU    110.  84.   12.38  11.65 004.42 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 201 APARECIDA      166. 100.   16.31  11.69 075.42 089.58 090.00 090.00 090.00 075.00 075.00 060.00 060.00 060.00 060.00 075.00 075.00
 260 AZULAO           0. 100.    3.00   3.07 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 262 AZULAO II        0. 100.    3.00   3.07 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 263 AZULAO IV        0. 100.    3.00   3.07 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 322 BBF BALIZA      10.  94.    1.17   5.63 005.00 005.00 006.66 006.66 006.66 006.66 006.66 006.66 006.66 006.66 006.66 006.66 006.66
 323 BONFIM          12. 100.    2.00   2.00 005.00 005.00 004.08 004.08 004.08 004.08 004.08 004.08 004.08 004.08 004.08 004.08 004.08
 324 CANTA           12. 100.    2.00   2.00 005.00 005.00 004.08 004.08 004.08 004.08 004.08 004.08 004.08 004.08 004.08 004.08 004.08
  73 GERAMAR I      166.  96.    1.30   2.70 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  70 GERAMAR II     166.  96.    1.30   2.70 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 326 JAGUATIRI II   141. 100.    2.50   1.50 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 204 JARAQUI         75.  87.    4.00   0.00 016.04 048.24 026.71 026.71 026.71 026.71 026.71 026.71 026.71 026.71 026.71 026.71 026.71
 327 M.CRISTO SUC    42.  96.    2.00   1.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 264 MANAUS I         0. 100.    2.50   2.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 212 MARANHAO III   519. 100.    3.99   2.24 476.55 015.62 000.00 000.00 000.00 000.00 000.00 479.32 479.32 476.42 479.32 479.32 000.00
  36 MARANHAO IV    338. 100.    1.11   0.78 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  21 MARANHAO V     338. 100.    1.16   1.20 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 140 MAUA 3         591.  97.   11.60   9.51 264.00 264.00 210.52 177.02 264.00 264.00 264.00 264.00 264.00 264.00 264.00 264.00 264.00
  46 N.VENECIA 2    270. 100.    6.05   6.44 000.00 000.00 000.00 000.00 000.00 079.85 081.09 081.09 081.09 081.09 081.09 000.00 000.00
 240 NT BARCARENA     0. 100.    1.10   2.05 000.00 000.00 000.00 000.00 000.00 000.00 580.83 580.83 580.83 580.83 580.83 580.83 000.00
 328 PALMAPLAN 2     12. 100.    0.91   1.36 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 116 PARNAIBA IV     56. 100.    5.50   4.30 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 239 PARNAIBA V     365.  95.    2.05   1.22 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 329 PAU RAINHA      12. 100.    2.00   2.00 005.00 005.00 004.08 004.08 004.08 004.08 004.08 004.08 004.08 004.08 004.08 004.08 004.08
 205 PIRARUCU        73. 100.    2.50   0.39 018.67 064.50 033.17 033.17 033.17 033.17 033.17 033.17 033.17 033.17 033.17 033.17 033.17
 203 PORAQUE         85. 100.    1.00  20.72 017.94 048.50 026.31 026.31 026.31 026.31 026.31 026.31 026.31 026.31 026.31 026.31 000.00
 176 PORTO ITAQUI   360. 100.    4.42   4.57 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 259 PORTOCEM I       0. 100.    1.50   2.18 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 330 SANTA LUZ       12. 100.    2.00   2.00 005.00 005.00 004.08 004.08 004.08 004.08 004.08 004.08 004.08 004.08 004.08 004.08 004.08
 209 TAMBAQUI        93.  71.    4.00   0.00 019.09 054.83 031.00 031.00 031.00 031.00 031.00 031.00 031.00 031.00 031.00 031.00 031.00
 207 TUCUNARE        73. 100.    2.50   0.53 018.67 064.50 033.12 033.12 033.12 033.12 033.12 033.12 033.12 033.12 033.12 033.12 033.12
