NUM NOME          POT  FCMX    TEIF   IP    <-------------------- GTMIN PARA O PRIMEIRO ANO DE ESTUDO ------------------------|D+ ANOS
 XXX XXXXXXXXXXXX  XXXX. XXX.  XXX.XX XXX.XX JAN.XX FEV.XX MAR.XX ABR.XX MAI.XX JUN.XX JUL.XX AGO.XX SET.XX OUT.XX NOV.XX DEZ.XX XXX.XX
 334 W. ARJONA      177. 100.    6.22  28.39   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 108 XAVANTES        54. 100.    0.31   0.35   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  48 ARAUCARIA      484. 100.    3.23  31.12   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 254 B. BONITA I     10. 100.   17.24   3.11   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 156 CANDIOTA 3     350. 100.   15.56  15.23   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  64 CANOAS         249. 100.    4.75  16.62   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  28 FIGUEIRA        20. 100.   11.84  12.39   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  26 J.LACERDA A1    80. 100.   10.13  20.86   0.00 000.00 000.00 000.00 000.00 071.89 071.89 071.89 071.89 071.89 071.89 071.89 000.00
  27 J.LACERDA A2   110. 100.    8.70  13.00   0.00 025.00 000.00 000.00 000.00 100.42 100.42 100.42 100.42 100.42 100.42 100.42 000.00
  25 J.LACERDA B    220. 100.    8.22  13.62   0.00 025.00 000.00 000.00 000.00 201.91 201.91 201.91 201.91 201.91 201.91 201.91 000.00
  24 J.LACERDA C    330. 100.    7.57  14.30   0.00 075.00 000.00 000.00 000.00 305.01 305.01 157.41 000.00 255.81 305.01 305.01 000.00
 107 PAMPA SUL      345. 100.   24.88  11.27   0.00 300.00 000.00 000.00 000.00 000.00 259.15 259.15 259.15 259.15 259.15 000.00 000.00
 149 SAO SEPE         8.  90.   13.24   2.53   0.00 003.00 002.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 258 TROMBUDO         0. 100.    3.00   6.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  35 URUGUAIANA     640. 100.    0.14  56.17   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 235 CAMACARI MII   144. 100.    3.00   1.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  52 CAMPINA GDE    169. 100.   34.93  10.50   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 106 ERB CANDEIAS    17. 100.   30.88  10.66   0.00 003.50 003.50 001.40 003.50 004.10 004.10 003.50 003.50 003.50 003.50 003.50 001.17
  53 GLOBAL I       149. 100.    7.42   0.69   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  55 GLOBAL II      149. 100.    9.75   1.03   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  57 MARACANAU I    147. 100.   23.83  10.34   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 167 P. PECEM I     720. 100.    2.76   3.58   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 163 P. PECEM II    365. 100.    1.04   4.92   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 224 P. SERGIPE I  1593. 100.   13.30   1.64   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 162 PECEM II       144. 100.    3.00   1.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  98 PERNAMBU_III   201. 100.   34.26  14.50   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 144 PETROLINA      136. 100.    4.34   2.80   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 151 POTIGUAR        53. 100.    2.75   5.21   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 161 POTIGUAR III    66. 100.    3.68   5.88   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 223 PROSPERI III    56. 100.    0.77   3.93   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 241 PROSPERID II    37. 100.    1.83   3.73   0.00 004.00 004.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 147 PROSPERIDADE    28. 100.    3.12   2.59   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 170 SUAPE II       381. 100.    5.67   7.59   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  43 TERMOBAHIA     186.  86.    3.78  10.06   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 152 TERMOCABO       50. 100.    0.69   1.84   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  58 TERMOCEARA     223. 100.   16.01   4.53   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  67 TERMONE        171.  95.    1.76   0.58   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  69 TERMOPB        171.  95.    2.33   0.66   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  96 TERMOPE        550. 100.    1.37   6.08   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  83 VALE DO ACU    110.  84.    5.67  13.49   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 201 APARECIDA      166. 100.   12.81  11.90   0.00 075.00 075.00 072.50 072.50 072.50 072.50 072.50 072.50 072.50 072.50 072.50 072.50
 260 AZULAO           0. 100.    3.00   3.07   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 262 AZULAO II        0. 100.    3.00   3.07   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 263 AZULAO IV        0. 100.    3.00   3.07   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 322 BBF BALIZA       0.  94.    1.17   5.63   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 323 BONFIM           0. 100.    2.00   2.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 203 C. ROCHA        85. 100.    1.00  20.72   0.00 064.99 064.99 067.00 067.00 026.32 026.32 026.32 026.32 026.32 026.32 026.32 026.32
 324 CANTA            0. 100.    2.00   2.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  73 GERAMAR I      166.  96.    0.29   0.29   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  70 GERAMAR II     166.  96.    0.40   0.32   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 326 JAGUATIRI II     0. 100.    2.50   1.50   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 204 JARAQUI         75.  87.    4.00   0.00   0.00 062.99 062.99 062.99 026.71 026.71 026.71 026.71 026.71 026.71 026.71 026.71 026.71
 327 M.CRISTO SUC     0.  96.    2.00   1.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 205 MANAUARA        73. 100.    2.50   0.39   0.00 064.06 072.99 064.87 064.87 033.17 033.17 033.17 033.17 033.17 033.17 033.17 033.17
 264 MANAUS I         0. 100.    2.50   2.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 212 MARANHAO III   519. 100.    4.10   1.83   0.00 105.03 000.00 000.00 000.00 000.00 000.00 479.32 479.32 479.32 479.32 479.32 000.00
  36 MARANHAO IV    338. 100.    1.31   0.76   0.00 013.84 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  21 MARANHAO V     338. 100.    1.43   1.26   0.00 013.84 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 140 MAUA 3         591.  97.    9.76   8.38   0.00 264.00 264.00 264.00 264.00 264.00 264.00 264.00 264.00 264.00 264.00 264.00 264.00
  46 N.VENECIA 2    178. 100.    1.17   1.94   0.00 025.69 000.00 000.00 000.00 079.85 081.09 081.09 081.09 081.09 081.09 000.00 000.00
 240 NT BARCARENA     0. 100.    1.10   2.05   0.00 000.00 000.00 000.00 000.00 000.00 000.00 580.83 580.83 580.83 580.83 580.83 000.00
 328 PALMAPLAN 2      0. 100.    0.91   1.36   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 116 PARNAIBA IV     56. 100.    5.04   1.33   0.00 003.53 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 239 PARNAIBA V     365.  95.    2.60   1.62   0.00 019.66 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 329 PAU RAINHA       0. 100.    2.00   2.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 207 PONTA NEGRA     73. 100.    2.50   0.53   0.00 063.99 063.99 064.00 064.00 033.12 033.12 033.12 033.12 033.12 033.12 033.12 033.12
 176 PORTO ITAQUI   360. 100.    2.04   4.55   0.00 006.09 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 259 PORTOCEM I       0. 100.    1.50   2.18   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 330 SANTA LUZ        0. 100.    2.00   2.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 209 TAMBAQUI        93.  71.    4.00   0.00   0.00 062.99 062.99 062.99 030.63 030.63 030.63 030.63 030.63 030.63 030.63 030.63 030.63
